filename,x,y
0108_07_03_1332-01.jpg,14.737331,2.148941
0109_07_04_1351-01.jpg,5.592100,6.430107
0110_07_05_1336-01.jpg,8.470616,8.362093
0111_07_05_1337-01.jpg,9.610049,2.590899
0112_07_05_1343-01.jpg,5.947925,5.095711
0113_07_06_1348-01.jpg,15.307083,6.786600
0114_07_08_1337-01.jpg,15.592906,3.875258
0115_07_12_1342-01.jpg,8.075373,-3.981323
0116_07_12_1352-01.jpg,6.943265,4.129622
0117_08_01_1335-01.jpg,9.636986,2.747361
0118_08_02_1336-01.jpg,9.517817,2.719474
0119_08_03_1319-01.jpg,10.649315,4.925447
0120_08_04_1328-01.jpg,7.232402,5.502725
0121_08_04_1328-02.jpg,14.004233,1.828699
0122_08_05_1328-01.jpg,9.754513,2.364873
0123_08_05_1328-02.jpg,9.731464,2.304347
0124_08_06_1332-01.jpg,8.810185,8.141693
0125_08_07_1307-01.jpg,11.635194,5.601138
0126_08_07_1351-01.jpg,5.534216,6.492866
0127_08_08_1339-01.jpg,15.290155,4.590062
0128_08_08_1343-01.jpg,7.839158,-4.219606
0129_08_09_1317-01.jpg,12.502211,1.546125
0130_08_10_1349-01.jpg,7.124341,7.356884
0131_09_01_1352-01.jpg,5.877914,5.286992
0132_09_02_1336-01.jpg,7.850508,7.966475
0133_09_02_1353-01.jpg,7.054265,5.653498
0134_09_03_1320-01.jpg,13.190150,1.544212
0135_09_04_1336-01.jpg,8.516395,8.334978
0136_09_04_1347-01.jpg,-4.870420,8.857177
0137_09_04_1347-02.jpg,-4.833159,8.766599
0138_09_04_1351-01.jpg,7.127326,7.199803
0139_09_04_1353-01.jpg,6.917034,4.094231
0140_09_05_1355-01.jpg,6.778268,7.240688
0141_09_06_1332-01.jpg,14.592621,2.336260
0142_09_06_1355-01.jpg,5.559941,6.427230
0143_09_07_1336-01.jpg,14.957930,3.754468
0144_09_07_1349-01.jpg,4.350811,2.939340
0145_09_08_1331-01.jpg,14.768240,2.071910
0146_09_09_1314-01.jpg,12.241834,1.676749
0147_09_10_1321-01.jpg,13.216341,1.440987
0148_09_10_1337-01.jpg,15.635648,3.746907
0149_09_12_1328-01.jpg,9.721865,2.402999
0150_10_01_1300-01.jpg,11.849500,4.720072
0151_10_01_1335-01.jpg,15.137084,3.107488
0152_10_04_1319-01.jpg,13.107492,1.723910
0153_10_05_1339-01.jpg,9.992071,2.619355
0154_10_05_1350-01.jpg,6.740753,7.185640
0155_10_06_1312-01.jpg,9.295500,3.112384
0156_10_06_1341-01.jpg,15.380326,4.673351
0157_10_07_1324-01.jpg,13.566502,1.552163
0158_10_07_1329-01.jpg,13.435516,3.394770
0159_10_07_1345-01.jpg,7.921082,-4.165288
0160_10_08_1336-01.jpg,14.923987,3.565353
0161_10_08_1348-01.jpg,5.861427,4.333050
0162_10_09_1342-01.jpg,6.888047,3.328347
0163_10_11_1322-01.jpg,13.178295,2.229319
0164_11_01_1331-01.jpg,14.311636,2.323716
0165_11_02_1320-01.jpg,13.485715,1.881127
0166_11_02_1350-01.jpg,7.086831,7.295349
0167_11_04_1339-01.jpg,15.632831,5.948819
0168_11_05_1346-01.jpg,7.923275,-4.131371
0169_11_05_1351-01.jpg,5.154290,6.708408
0170_11_06_1333-01.jpg,15.239288,3.976861
